datetime;Bremen_Apr;Bremen_Mai;Bremen_Jun;Oldenburg_Apr;Oldenburg_Mai;Oldenburg_Jun;TTF_Apr;TTF_Mai;TTF_Jun;GPL_Apr;GPL_Mai;GPL_Jun;
2021-02-06;7,3;11,8;20;7,4;12,3;20,9;;;;;;;
2021-02-07;6,1;13,4;22;6,1;14,1;22,4;;;;;;;
2021-02-08;5;10,2;20,8;4,6;9,9;20,7;13,844;14,009;14,132;14,394;14,309;14,395;
2021-02-09;4,7;14,5;22,8;6,2;16;23,2;13,457;13,615;13,734;13,832;14,065;14,184;
2021-02-10;5,2;16,9;18,1;4,7;16,4;18;14,189;14,325;14,47;14,577;14,7;14,72;
2021-02-11;2;12,2;16,8;2,8;11,6;19;14,807;14,937;15,042;15,107;15,325;15,267;
2021-02-12;1,6;11,2;20,9;0,8;12,7;22,2;16,633;16,733;16,792;17,033;17,171;17,23;
2021-02-13;0;13,7;20,4;0,4;14;19,5;;;;;;;
2021-02-14;0,8;10,3;16;2,3;11,6;16,7;;;;;;;
2021-02-15;2,5;11;18,3;2,8;12,2;21;15,964;16,096;16,262;16,314;16,496;16,662;
2021-02-16;3,7;13;18,9;6,4;14,8;18,3;16,757;16,845;16,97;17,07;17,27;17,508;
2021-02-17;6,1;13,2;18,1;6,6;12,5;18,3;15,73;15,876;15,986;16,068;16,226;16,174;
2021-02-18;9,5;9,9;16,1;10,6;9,4;17,8;15,995;16,095;16,218;16,383;16,52;16,556;
2021-02-19;11,8;7,8;14,9;13,6;8,2;15,7;15,853;15,92;16,055;16,228;16,383;16,355;
2021-02-20;15;8,8;15,7;15,3;11,7;17,4;;;;;;;
2021-02-21;14,3;9,3;15,4;14,8;11,2;16;;;;;;;
2021-02-22;14,1;13,1;18,3;14,5;13,2;19,9;15,012;15,085;15,257;15,4;15,485;15,595;
2021-02-23;8,6;13,5;18,8;8,8;15,1;18,7;14,836;14,938;15,13;15,249;15,413;15,68;
2021-02-24;8,4;12,8;18;9,9;13,2;18,3;15,195;15,32;15,55;15,658;15,733;16,063;
2021-02-25;11,6;10,8;14,8;11,6;11;15;14,462;14,598;14,803;14,937;15,073;15,191;
2021-02-26;15,1;11,7;14,3;15;12,4;15,4;14,462;14,598;14,803;14,937;15,073;15,191;
2021-02-27;13,9;12,4;15,8;11,7;13,5;17,5;;;;;;;
2021-02-28;12,3;13,1;20,2;11,9;12,8;19,8;;;;;;;
2021-03-01;12,6;15,1;16,1;14,4;15;16,6;14,422;14,54;14,791;14,799;15,058;15,246;
2021-03-02;15;14,6;15;17;14,8;15,9;14,264;14,339;14,561;14,788;14,814;14,931;
2021-03-03;14,2;14,3;17,3;13;14,6;17,7;14,535;14,57;14,738;14,955;15,017;15,138;
2021-03-04;11,3;15,3;20;12,1;15;21;14,423;14,407;14,521;14,943;14,966;15,017;
2021-03-05;13,6;16,5;19,2;15,2;17,2;18,8;14,525;14,486;14,586;14,996;15,1;15,16;
